year,total_stock_change,co2_removals,sawnwood_domestic_inflow,woodpanels_domestic_inflow,paper_domestic_inflow,sawnwood_domestic_stock,woodpanel_domestic_stock,paper_domestic_stock,sawnwood_domestic_stock_change,woodpanels_domestic_stock_change,paper_domestic_stock_change,domestic_stock_change,domestic_co2_removals,sawnwood_export_inflow,woodpanels_export_inflow,paper_export_inflow,sawnwood_export_stock,woodpanel_export_stock,paper_export_stock,sawnwood_export_stock_change,woodpanels_export_stock_change,paper_export_stock_change,export_stock_change,export_co2_removals
1931,471377.61528933723,-1728384.5893942364,675545.8763498354,31732.1268951649,83725.49730507402,12891510.581671523,548622.4218038949,233142.19055459276,424428.619831305,16752.24579755508,3495.3531422868837,444676.21877114696,-1630479.468827539,40559.450991772625,1905.181706716022,5104.6689428121,774000.1233853315,32939.02754669386,14214.471549171503,25482.491135271033,1005.7968173818044,213.10856553742997,26701.396518190268,-97905.12056669765
1932,473418.34763853316,-1735867.2746746214,685824.0238033675,32214.917910047505,84999.3456654128,13317793.45587312,565392.7360986101,236690.32196602764,426282.87420159765,16770.31429471518,3548.131411434879,446601.3199077477,-1637538.1729950747,41176.54604411792,1934.168248108599,5182.3343419100565,799593.9430652522,33945.90918799469,14430.797958735511,25593.819679920678,1006.8816413008244,216.32640956400792,26817.02773078551,-98329.10167954686
1933,475592.8046790805,-1743840.283823295,696258.5489638399,32705.054387931108,86292.575094809,13746049.063058287,582187.8693743614,240292.1524077835,428255.60718516633,16795.133275751257,3601.830441755854,448652.5709026734,-1645059.4266431357,41803.02993912053,1963.5958075830429,5261.181387513324,825306.2046890408,34954.28094903458,14650.398350314103,25712.261623788625,1008.3717610398962,219.60039157859137,26940.233776407113,-98780.85718015941
1934,477900.92032123124,-1752303.3745111811,706851.831052541,33202.6480869575,87605.48046810763,14176395.91436371,599014.4977457529,243948.5821583604,430346.8513054233,16826.62837139156,3656.4297505769064,450829.9094273918,-1653043.0012337698,42439.045524087545,1993.4710950446815,5341.228057878368,851144.0236086058,35964.543660538126,14873.327613084966,25837.818919565063,1010.262711503543,222.92926277086372,27071.01089383947,-99260.37327741139
1935,480342.6801150142,-1761256.493755052,717606.2854896144,33707.812465621784,88938.36114655092,14608952.58865449,615879.2266687464,247660.5008043259,432556.67429078,16864.728922993527,3711.9186459654884,453133.321859739,-1661488.846819043,43084.73781968798,2023.800922487241,5422.492604793295,877114.5192422371,36977.09391091884,15099.639984348205,25970.495633631246,1012.5502503807147,226.31237126323867,27209.358255275198,-99767.64693600906
1936,482918.11803472514,-1770699.7661273254,728524.3644448092,34220.66270864252,90291.52104603694,15043837.76758412,632788.5945753384,251428.79422110016,434885.17892963067,16909.36790659197,3768.2934167742787,455562.8402529969,-1670397.080927655,43740.25405301956,2054.5922055460787,5504.993557739518,903224.8171795903,37992.324264503455,15329.38947513857,26110.297937353258,1015.2303535846149,229.7494907903656,27355.27778172824,-100302.68519967022
1937,485627.31415197096,-1780633.4852238935,739608.5573966092,34741.31575322549,91665.26870641683,15481170.270520605,649749.0764347492,255254.34956768053,437332.5029364843,16960.481859410764,3825.5553465803678,458118.5401424754,-1679767.9805224098,44405.743691178606,2085.851965075044,5588.749728116747,929482.0512786346,39010.62347534399,15562.630174749369,26257.23409904423,1018.2992108405379,233.2406996107984,27508.774009495566,-100865.50470148373
1938,488470.3929410711,-1791058.107450594,750861.3916998712,35269.89031572709,93059.91736184625,15921069.089349732,666767.0872435285,259138.0588778995,439898.81882912666,17018.010808779276,3883.7093102189538,460800.53894812486,-1689601.9761431245,45081.3584753407,2117.587328747339,5673.780213532255,955893.3657552239,40032.37669676207,15799.416469688264,26411.314476589323,1021.7532214180756,236.78629493889457,27669.853992946293,-101456.13130746974
1939,491447.522035674,-1801974.247464138,762285.4331620961,35806.506918723295,94475.78501220734,16363653.423166497,683848.9854469213,263080.8216601874,442584.3338167649,17081.898203392862,3942.7627822879003,463608.99480244564,-1699899.6476089673,45767.25245535981,2149.805532680724,5760.104402155409,982465.9172659541,41057.96568676602,16039.803202182487,26572.551510730176,1025.5889900039547,240.3867324942239,27838.527233228357,-102074.59985517064
1940,494558.9113083767,-1813382.6747973813,773883.2866284716,36351.28791849062,95913.19449561718,16809042.712865517,701001.0762937801,267083.54679716006,445389.28969901986,17152.090846858802,4002.7251369726728,466544.10568285134,-1710661.7208371216,46463.58202489391,2182.5139230874606,5847.74197713845,1009206.8769849547,42087.76900947825,16283.845785994998,26740.959719000617,1029.8033227122287,244.0425838125102,28014.805625525354,-102720.95396025963
1941,497804.8121827631,-1825284.3113367981,785657.5965758133,36904.35753290503,97372.47356203954,17257356.675641272,718229.6151272515,271147.1539510397,448313.9627757557,17228.538833471364,4063.607153879653,469606.1087631067,-1721889.0654647246,47170.50595706494,2215.7199579493526,5936.712921104531,1036123.4326752662,43122.16223270646,16531.600292111754,26916.555690311478,1034.3932232282095,247.7545061167566,28198.703419656442,-103395.24587207362
1942,501185.51711361523,-1837680.229416589,797611.0477155432,37465.84186976543,98853.95494801653,17708715.339408837,735540.8106134139,275272.5746205948,451358.66376756504,17311.19548616244,4125.420669555082,472795.27992328256,-1733582.693052036,47888.185440661335,2249.4312087182698,6027.037520704045,1063222.7907554451,44161.51812178955,16783.12351318239,27099.358080178965,1039.35588908309,251.52322107063446,28390.23719033269,-104097.53636455319
1943,504701.35919001914,-1850571.6503634034,809746.3656058433,38035.86895554805,100357.97645253738,18163239.07715579,752940.8279099875,279460.7529526263,454523.73774695396,17400.017296573613,4188.17833203153,476111.9333755591,-1745743.7557103834,48616.78411689145,2283.655362042552,6118.73637124027,1090512.178362036,45206.20682984541,17038.473012995804,27289.387606590753,1044.688708055859,255.3494998134156,28589.425814460028,-104827.89465302009
